NCTId,BriefTitle,OverallStatus,Facility,City,State,Zip,Country,SiteStatus
NCT06333483,"Obe-cel in Adolescent [Applicable in UK Only] and Adult Severe, Refractory Systemic Lupus Erythematosus",RECRUITING,"Manchester Royal Infirmary, Manchester University NHS Foundation Trust,",Manchester,,M13 9WL,United Kingdom,RECRUITING
NCT05537766,Study of Brexucabtagene Autoleucel in Adults With Rare B-cell Malignancies,TERMINATED,City of Hope (City of Hope National Medical Center),Duarte,California,91010,United States,
NCT05537766,Study of Brexucabtagene Autoleucel in Adults With Rare B-cell Malignancies,TERMINATED,Stanford Cancer Institute,Stanford,California,94305,United States,
NCT05537766,Study of Brexucabtagene Autoleucel in Adults With Rare B-cell Malignancies,TERMINATED,Colorado Blood Cancer Institute,Denver,Colorado,80218,United States,
NCT05537766,Study of Brexucabtagene Autoleucel in Adults With Rare B-cell Malignancies,TERMINATED,Georgetown University Medical Centre,Washington D.C.,District of Columbia,20037,United States,
NCT05537766,Study of Brexucabtagene Autoleucel in Adults With Rare B-cell Malignancies,TERMINATED,University of Iowa,Iowa City,Iowa,52242,United States,
NCT05537766,Study of Brexucabtagene Autoleucel in Adults With Rare B-cell Malignancies,TERMINATED,Washington University School of Medicine,St Louis,Missouri,63110,United States,
NCT05537766,Study of Brexucabtagene Autoleucel in Adults With Rare B-cell Malignancies,TERMINATED,Hackensack University Medical Center,Hackensack,New Jersey,07601,United States,
NCT05537766,Study of Brexucabtagene Autoleucel in Adults With Rare B-cell Malignancies,TERMINATED,The Ohio State University Wexner Medical Center - James Cancer HospitalS,Columbus,Ohio,43210,United States,
NCT05537766,Study of Brexucabtagene Autoleucel in Adults With Rare B-cell Malignancies,TERMINATED,UPMC Hillman Cancer Center,Pittsburgh,Pennsylvania,15232,United States,
NCT05537766,Study of Brexucabtagene Autoleucel in Adults With Rare B-cell Malignancies,TERMINATED,"Tennessee Oncology, PLLC",Nashville,Tennessee,37203,United States,
NCT05537766,Study of Brexucabtagene Autoleucel in Adults With Rare B-cell Malignancies,TERMINATED,Vanderbilt University,Nashville,Tennessee,37232,United States,
NCT05537766,Study of Brexucabtagene Autoleucel in Adults With Rare B-cell Malignancies,TERMINATED,MD Anderson Cancer Center,Houston,Texas,77030,United States,
NCT05537766,Study of Brexucabtagene Autoleucel in Adults With Rare B-cell Malignancies,TERMINATED,"Medical University of Vienna, Department of Internal Medicine I, Div. of Hematology",Vienna,,01090,Austria,
NCT05537766,Study of Brexucabtagene Autoleucel in Adults With Rare B-cell Malignancies,TERMINATED,Hopital de la Pitie Salpetriere,Paris,,75013,France,
NCT05537766,Study of Brexucabtagene Autoleucel in Adults With Rare B-cell Malignancies,TERMINATED,Centre hospitalier de Toulouse - Hematology department,Toulouse,,31059,France,
NCT05537766,Study of Brexucabtagene Autoleucel in Adults With Rare B-cell Malignancies,TERMINATED,Universitatsklinikum Koln,Cologne,,50937,Germany,
NCT05537766,Study of Brexucabtagene Autoleucel in Adults With Rare B-cell Malignancies,TERMINATED,Universitatsklinikum Heidelberg,Heidelberg,,69120,Germany,
NCT05537766,Study of Brexucabtagene Autoleucel in Adults With Rare B-cell Malignancies,TERMINATED,Universitatsklinikum Ulm,Ulm,,89081,Germany,
NCT05537766,Study of Brexucabtagene Autoleucel in Adults With Rare B-cell Malignancies,TERMINATED,IRCCS Azienda Ospedaliero - Universitaria di Bologna,Bologna,,40138,Italy,
NCT05537766,Study of Brexucabtagene Autoleucel in Adults With Rare B-cell Malignancies,TERMINATED,ASST Grande Ospedale Metropolitano Niguarda,Milan,,20162,Italy,
NCT05537766,Study of Brexucabtagene Autoleucel in Adults With Rare B-cell Malignancies,TERMINATED,Azienda Ospedale di Perugia - Ospedale S. Maria della Misericordia,Perugia,,06132,Italy,
NCT05537766,Study of Brexucabtagene Autoleucel in Adults With Rare B-cell Malignancies,TERMINATED,Radboud University Nijmegen Medical Centre,Nijmegen,,6525 GA,Netherlands,
NCT05537766,Study of Brexucabtagene Autoleucel in Adults With Rare B-cell Malignancies,TERMINATED,Hospital Clinic de Barcelona,Barcelona,,08036,Spain,
NCT05537766,Study of Brexucabtagene Autoleucel in Adults With Rare B-cell Malignancies,TERMINATED,Hospital Universitario de Salamanca,Salamanca,,37007,Spain,
NCT05537766,Study of Brexucabtagene Autoleucel in Adults With Rare B-cell Malignancies,TERMINATED,Hospital Universitario Virgen del Rocio,Seville,,41013,Spain,
NCT05537766,Study of Brexucabtagene Autoleucel in Adults With Rare B-cell Malignancies,TERMINATED,Istituto Oncologico Della Svizzera Italiana (IOSI),Bellinzona,,6500,Switzerland,
